title,url,first_author,authors,year,publisher,cited_by,query
MADGAN: Unsupervised medical anomaly detection GAN using multiple adjacent brain MRI slice reconstruction,https://bmcbioinformatics.biomedcentral.com/articles/10.1186/s12859-020-03936-1,C Han,"C Han, L Rundo, K Murao…",2021,bmcbioinformatics.biomedcentral …,145,multiple sclerosis segmentation gan
Semantic segmentation of white matter in FDG-PET using generative adversarial network,https://link.springer.com/article/10.1007/s10278-020-00321-5,KT Oh,"KT Oh, S Lee, H Lee, M Yun, SK Yoo",2020,Springer,29,multiple sclerosis segmentation gan
DMCA-GAN: Dual Multilevel Constrained Attention GAN for MRI-Based Hippocampus Segmentation,https://link.springer.com/article/10.1007/s10278-023-00854-5,X Chen,"X Chen, Y Peng, D Li, J Sun",2023,Springer,0,multiple sclerosis segmentation gan
"Latent space analysis of vae and intro-vae applied to 3-dimensional mr brain volumes of multiple sclerosis, leukoencephalopathy, and healthy patients",https://arxiv.org/abs/2101.06772,C Vogelsanger,"C Vogelsanger, C Federau",2021,arxiv.org,6,multiple sclerosis segmentation gan
Multisdgan: translation of oct images to superresolved segmentation labels using multi-discriminators in multi-stages,https://ieeexplore.ieee.org/abstract/document/9536237/,P Jeihouni,"P Jeihouni, O Dehzangi…",2021,ieeexplore.ieee.org,4,multiple sclerosis segmentation gan
Improving segmentation reliability of multi-scanner brain images using a generative adversarial network,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8899955/,K Niu,"K Niu, X Li, L Zhang, Z Yan, W Yu, P Liang…",2022,ncbi.nlm.nih.gov,1,multiple sclerosis segmentation gan
Evaluating the use of synthetic T1-w images in new T2 lesion detection in multiple sclerosis,https://www.frontiersin.org/articles/10.3389/fnins.2022.954662/full,L Valencia,"L Valencia, A Clèrigues, S Valverde, M Salem…",2022,frontiersin.org,2,multiple sclerosis segmentation gan
The emerging role of artificial intelligence in multiple sclerosis imaging,https://journals.sagepub.com/doi/abs/10.1177/1352458520966298,HMR Afzal,"HMR Afzal, S Luo, S Ramadan…",2022,journals.sagepub.com,34,multiple sclerosis segmentation gan
Subsampled brain MRI reconstruction by generative adversarial neural networks,https://www.sciencedirect.com/science/article/pii/S1361841520301110,R Shaul,"R Shaul, I David, O Shitrit, TR Raviv",2020,Elsevier,71,multiple sclerosis segmentation gan
Temporally Adjustable Longitudinal Fluid-Attenuated Inversion Recovery MRI Estimation/Synthesis for Multiple Sclerosis,https://arxiv.org/abs/2209.04275,J Wang,"J Wang, D Berger, E Mazerolle, O Soufan…",2022,arxiv.org,0,multiple sclerosis segmentation gan
Generative adversarial networks to synthesize missing T1 and FLAIR MRI sequences for use in a multisequence brain tumor segmentation model,https://pubs.rsna.org/doi/abs/10.1148/radiol.2021203786,GM Conte,"GM Conte, AD Weston, DC Vogelsang, KA Philbrick…",2021,pubs.rsna.org,56,multiple sclerosis segmentation gan
Brain Tumour Segmentation Using U-net Based Adversarial Networks.,https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=07650019&AN=141469438&h=SWxzCvhYLNgQuB556lUgQ8iBdm0M20P8VTHmv2KpRyj94OI7cXw0iHODiaJz6Op41cpTk88OU9jDoZOfc2TSAg%3D%3D&crl=c,SM Teki,"SM Teki, MK Varma, AK Yadav",2019,search.ebscohost.com,18,multiple sclerosis segmentation gan
An innovative medical image synthesis based on dual GAN deep neural networks for improved segmentation quality,https://link.springer.com/article/10.1007/s10489-022-03682-2,A Beji,"A Beji, AG Blaiech, M Said, AB Abdallah, MH Bedoui",2023,Springer,3,multiple sclerosis segmentation gan
Pathology segmentation using distributional differences to images of healthy origin,https://link.springer.com/chapter/10.1007/978-3-030-11723-8_23,S Andermatt,"S Andermatt, A Horváth, S Pezold, P Cattin",2019,Springer,34,multiple sclerosis segmentation gan
Conditional generative adversarial refinement networks for unbalanced medical image semantic segmentation,https://ieeexplore.ieee.org/abstract/document/8659310/,M Rezaei,"M Rezaei, H Yang, K Harmuth…",2019,ieeexplore.ieee.org,28,multiple sclerosis segmentation gan
Gan augmentation: Augmenting training data using generative adversarial networks,https://arxiv.org/abs/1810.10863,C Bowles,"C Bowles, L Chen, R Guerrero, P Bentley…",2018,arxiv.org,526,multiple sclerosis segmentation gan
Learning brain alterations in multiple sclerosis from multimodal neuroimaging data,https://theses.hal.science/tel-02862395/,W Wei ,W Wei ,2020,theses.hal.science,0,multiple sclerosis segmentation gan
Intelligent System Based on GAN Model for Decision Support in Brain Tumor Segmentation,https://link.springer.com/chapter/10.1007/978-3-031-06458-6_20,O El Mansouri,"O El Mansouri, Y El Mourabit, Y El Habouz…",2022,Springer,0,multiple sclerosis segmentation gan
Stroke lesion segmentation with 2D novel CNN pipeline and novel loss function,https://link.springer.com/chapter/10.1007/978-3-030-11723-8_25,P Liu,P Liu,2019,Springer,26,multiple sclerosis segmentation gan
CarveMix: a simple data augmentation method for brain lesion segmentation,https://www.sciencedirect.com/science/article/pii/S1053811923001878,X Zhang,"X Zhang, C Liu, N Ou, X Zeng, Z Zhuo, Y Duan, X Xiong…",2023,Elsevier,23,multiple sclerosis segmentation gan
The usage of 2.5 D UNet architectures and different preprocessing techniques for segmentation of multiple sclerosis,https://www.duo.uio.no/bitstream/handle/10852/96977/1/thesis_done_dou_upload_aram_salihi.pdf,AFS Salihi ,AFS Salihi ,2022,duo.uio.no,0,multiple sclerosis segmentation gan
Brain stroke lesion segmentation using consistent perception generative adversarial network,https://link.springer.com/article/10.1007/s00521-021-06816-8,S Wang,"S Wang, Z Chen, S You, B Wang, Y Shen…",2022,Springer,42,multiple sclerosis segmentation gan
BTS-GAN: computer-aided segmentation system for breast tumor using MRI and conditional adversarial networks,https://www.sciencedirect.com/science/article/pii/S2215098622000623,IU Haq,"IU Haq, H Ali, HY Wang, L Cui, J Feng",2022,Elsevier,10,multiple sclerosis segmentation gan
Fully automatic segmentation of the choroid in non-EDI OCT images of patients with multiple sclerosis,https://www.sciencedirect.com/science/article/pii/S1877050922010092,E López ,"E López ,Varela, N Barreira, NO Pascual…",2022,Elsevier,3,multiple sclerosis segmentation gan
Soft labeling by distilling anatomical knowledge for improved MS lesion segmentation,https://ieeexplore.ieee.org/abstract/document/8759518/,E Kats,"E Kats, J Goldberger…",2019,ieeexplore.ieee.org,39,multiple sclerosis segmentation gan
Conditional generative refinement adversarial networks for unbalanced medical image semantic segmentation,https://arxiv.org/abs/1810.03871,M Rezaei,"M Rezaei, H Yang, C Meinel",2018,arxiv.org,29,multiple sclerosis segmentation gan
Limited one-time sampling irregularity map (lots-im) for automatic unsupervised assessment of white matter hyperintensities and multiple sclerosis lesions in structural …,https://www.sciencedirect.com/science/article/pii/S0895611119301004,MF Rachmadi,"MF Rachmadi, MC Valdés ,Hernández, H Li…",2020,Elsevier,15,multiple sclerosis segmentation gan
A novel domain adaptation framework for medical image segmentation,https://link.springer.com/chapter/10.1007/978-3-030-11726-9_26,A Gholami,"A Gholami, S Subramanian, V Shenoy…",2019,Springer,64,multiple sclerosis segmentation gan
SUSAN: segment unannotated image structure using adversarial network,https://onlinelibrary.wiley.com/doi/abs/10.1002/MRM.27627,F Liu,F Liu,2019,Wiley Online Library,65,multiple sclerosis segmentation gan
Semi-supervised generative adversarial networks for the segmentation of the left ventricle in pediatric MRI,https://www.sciencedirect.com/science/article/pii/S0010482520302353,C Decourt,"C Decourt, L Duong",2020,Elsevier,34,multiple sclerosis segmentation gan
Attention-Based Multi-Scale Generative Adversarial Network for synthesizing contrast-enhanced MRI,https://ieeexplore.ieee.org/abstract/document/9630887/,M Pan,"M Pan, H Zhang, Z Tang, Y Zhao…",2021,ieeexplore.ieee.org,0,multiple sclerosis segmentation gan
The optimisation of deep neural networks for segmenting multiple knee joint tissues from MRIs,https://www.sciencedirect.com/science/article/pii/S0895611120300884,DA Kessler,"DA Kessler, JW MacKay, VA Crowe…",2020,Elsevier,27,multiple sclerosis segmentation gan
A deep semantic segmentation correction network for multi-model tiny lesion areas detection,https://bmcmedinformdecismak.biomedcentral.com/articles/10.1186/s12911-021-01430-z,…,"…, X Li, T Li, B Li, Z Wang, J Gan…",2021,bmcmedinformdecismak …,5,multiple sclerosis segmentation gan
Generative adversarial networks and its applications in the biomedical image segmentation: a comprehensive survey,https://link.springer.com/article/10.1007/s13735-022-00240-x,A Iqbal,"A Iqbal, M Sharif, M Yasmin, M Raza, S Aftab",2022,Springer,28,multiple sclerosis segmentation gan
Investigation of an efficient multi-modal convolutional neural network for multiple sclerosis lesion detection,https://www.nature.com/articles/s41598-023-48578-4,F Raab,"F Raab, W Malloni, S Wein, MW Greenlee, EW Lang",2023,nature.com,0,multiple sclerosis segmentation gan
MRI to PET Cross-Modality Translation using Globally and Locally Aware GAN (GLA-GAN) for Multi-Modal Diagnosis of Alzheimer's Disease,https://arxiv.org/abs/2108.02160,A Sikka,"A Sikka, JS Virk, DR Bathula",2021,arxiv.org,21,multiple sclerosis segmentation gan
Deep learning in multi-organ segmentation,https://arxiv.org/abs/2001.10619,Y Lei,"Y Lei, Y Fu, T Wang, RLJ Qiu, WJ Curran, T Liu…",2020,arxiv.org,46,multiple sclerosis segmentation gan
Multiple sclerosis lesions identification/segmentation in magnetic resonance imaging using ensemble cnn and uncertainty classification,https://www.academia.edu/download/88632957/2108.11791v1.pdf,G Placidi,"G Placidi, L Cinque, F Mignosi…",2021,academia.edu,5,multiple sclerosis segmentation cnn
Diagnosis of multiple sclerosis (MS) using convolutional neural network (CNN) from MRIs,http://azadproject.ir/wp-content/uploads/2013/12/2012-O86-Diagnosis-of-Multiple-Sclerosis-MS-Using-Convolutional-Neural-Network-CNN-from-MRIs.pdf,M Maleki,"M Maleki, M Teshnehlab, M Nabavi",2012,azadproject.ir,27,multiple sclerosis segmentation cnn
A cellular neural network methodology for the automated segmentation of multiple sclerosis lesions,https://www.sciencedirect.com/science/article/pii/S016502701100522X,A Cerasa,"A Cerasa, E Bilotta, A Augimeri, A Cherubini…",2012,Elsevier,68,multiple sclerosis segmentation cnn
Cnn prediction of future disease activity for multiple sclerosis patients from baseline mri and lesion labels,https://link.springer.com/chapter/10.1007/978-3-030-11723-8_6,NM Sepahvand,"NM Sepahvand, T Hassner, DL Arnold…",2019,Springer,14,multiple sclerosis segmentation cnn
Automated Multiple Sclerosis Lesion Segmentation on MR Images via Mask R-CNN,https://ieeexplore.ieee.org/abstract/document/9604593/,MS Yıldırım,"MS Yıldırım, E Dandıl",2021,ieeexplore.ieee.org,2,multiple sclerosis segmentation cnn
One-shot domain adaptation in multiple sclerosis lesion segmentation using convolutional neural networks,https://www.sciencedirect.com/science/article/pii/S2213158218303863,S Valverde,"S Valverde, M Salem, M Cabezas, D Pareto…",2019,Elsevier,131,multiple sclerosis segmentation cnn
A CNN based algorithm for the automated segmentation of multiple sclerosis lesions,https://link.springer.com/chapter/10.1007/978-3-642-12239-2_22,E Bilotta,"E Bilotta, A Cerasa, P Pantano, A Quattrone…",2010,Springer,9,multiple sclerosis segmentation cnn
Infratentorial lesions in multiple sclerosis patients: intra-and inter-rater variability in comparison to a fully automated segmentation using 3D convolutional neural …,https://link.springer.com/article/10.1007/s00330-021-08329-3,J Krüger,"J Krüger, AC Ostwaldt, L Spies, B Geisler…",2021,Springer,8,multiple sclerosis segmentation cnn
Automatic detection of multiple sclerosis lesions using Mask R‐CNN on magnetic resonance scans,https://ietresearch.onlinelibrary.wiley.com/doi/abs/10.1049/iet-ipr.2020.1128,M Süleyman Yıldırım,"M Süleyman Yıldırım, E Dandıl",2020,Wiley Online Library,8,multiple sclerosis segmentation cnn
Improved algorithm for multiple sclerosis diagnosis in MRI using convolutional neural network,https://ietresearch.onlinelibrary.wiley.com/doi/abs/10.1049/iet-ipr.2019.0366,A Soltani,"A Soltani, S Nasri",2020,Wiley Online Library,12,multiple sclerosis segmentation cnn
Noise Invariant Convolution Neural Network for Segmentation of Multiple Sclerosis Lesions from Brain Magnetic Resonance Imaging.,https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=26268493&AN=159770398&h=D7OvrxKtinFj3srJDyTEFyD3syIm29eVET913ffxrP1CNejD4wFFsJ6pZNIdLe3izXSagTUueRElAWx2IjN5Qg%3D%3D&crl=c,S MD,"S MD, A CR",2022,search.ebscohost.com,0,multiple sclerosis segmentation cnn
Improving multiple sclerosis lesion boundaries segmentation by convolutional neural networks with focal learning,https://link.springer.com/chapter/10.1007/978-3-030-50516-5_16,G Ulloa,"G Ulloa, A Veloz, H Allende ,Cid, H Allende",2020,Springer,6,multiple sclerosis segmentation cnn
Automatic Multiple Sclerosis lesion segmentation using Patch-wise R-CNN,https://journals.ekb.eg/article_321063.html,D Al ,"D Al ,Desouky, E Essa, MZ Rashad…",2019,journals.ekb.eg,0,multiple sclerosis segmentation cnn
Deep 3D convolutional encoder networks with shortcuts for multiscale feature integration applied to multiple sclerosis lesion segmentation,https://ieeexplore.ieee.org/abstract/document/7404285/,T Brosch,"T Brosch, LYW Tang, Y Yoo, DKB Li…",2016,ieeexplore.ieee.org,652,multiple sclerosis segmentation deep learning 3D
RimNet: A deep 3D multimodal MRI architecture for paramagnetic rim lesion assessment in multiple sclerosis,https://www.sciencedirect.com/science/article/pii/S2213158220302497,G Barquero,"G Barquero, F La Rosa, H Kebiri, PJ Lu…",2020,Elsevier,34,multiple sclerosis segmentation deep learning 3D
Detection of multiple sclerosis using deep learning,https://ieeexplore.ieee.org/abstract/document/9544601/,S Al Jannat,"S Al Jannat, T Hoque, NA Supti…",2021,ieeexplore.ieee.org,7,multiple sclerosis segmentation deep learning 3D
… lesions in multiple sclerosis patients: intra-and inter-rater variability in comparison to a fully automated segmentation using 3D convolutional neural networks,https://link.springer.com/article/10.1007/s00330-021-08329-3,J Krüger,"J Krüger, AC Ostwaldt, L Spies, B Geisler…",2021,Springer,8,multiple sclerosis segmentation deep learning 3D
Spatio-temporal learning from longitudinal data for multiple sclerosis lesion segmentation,https://link.springer.com/chapter/10.1007/978-3-030-72084-1_11,S Denner,"S Denner, A Khakzar, M Sajid, M Saleh…",2021,Springer,21,multiple sclerosis segmentation deep learning 3D
Efficient deep learning of 3D structural brain MRIs for manifold learning and lesion segmentation with application to multiple sclerosis,https://open.library.ubc.ca/soa/cIRcle/collections/ubctheses/24/items/1.0305854,T Brosch ,T Brosch ,2016,open.library.ubc.ca,5,multiple sclerosis segmentation deep learning 3D
An integrated segmentation and classification approach applied to multiple sclerosis analysis,https://ieeexplore.ieee.org/abstract/document/1640876/,A Akselrod ,"A Akselrod ,Ballin, M Galun, R Basri…",2006,ieeexplore.ieee.org,49,multiple sclerosis segmentation deep learning 3D
Improving the detection of new lesions in multiple sclerosis with a cascaded 3D fully convolutional neural network approach,https://www.frontiersin.org/articles/10.3389/fnins.2022.1007619/full,M Salem,"M Salem, MA Ryan, A Oliver, KF Hussain…",2022,frontiersin.org,4,multiple sclerosis segmentation deep learning 3D
"Multiple Sclerosis Detection via Machine Learning Algorithm, Accurate Simulated Database 3D MRI to 2D Images, using value of Binary Pattern Classification-A Case …",https://ieeexplore.ieee.org/abstract/document/9089962/,M Moghadasi,"M Moghadasi, G Fazekas",2019,ieeexplore.ieee.org,5,multiple sclerosis segmentation deep learning 3D
Whole brain and deep gray matter atrophy detection over 5 years with 3T MRI in multiple sclerosis using a variety of automated segmentation pipelines,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0206939,R Chu,"R Chu, G Kim, S Tauhid, F Khalid, BC Healy…",2018,journals.plos.org,20,multiple sclerosis segmentation deep learning 3D
